content,hasil_stopword,hasil_stemming
Sangat2 membantu,['membantu'],['bantu']
ga bsa login... gmna ini.. soal ny hp bru.. apa harus daftar ulang. tpi sy sdh pnya acount,"['daftar', 'ulang']","['daftar', 'ulang']"
Belum ada pengalaman,['pengalaman'],['alam']
Bagus,['bagus'],['bagus']
Aplikasi nya pembaruan terus😔😔😔😔,"['aplikasi', 'pembaruan']","['aplikasi', 'baru']"
Aplikasi update terus,['aplikasi'],['aplikasi']
"Developer mohon dijawab ,saya dari golongan vaksin gorong royong lalu ingin migrasi ke vaksin pemerintah ,saya vaksin ke-1&2 VGR dan vaksin booster saya vaksin pemerintah ,namun sertifikat vaksin booster saya tidak muncul dipedulilindungi,padahal saya sudah berkonfirmasi dengan pihak biofarma,dan sudah ditangani namun belum juga muncul sertifikat booster nya kenapa yah ??,.mohon dijawab ,terimakasih ,.","['mohon', 'golongan', 'vaksin', 'gorong', 'royong', 'migrasi', 'vaksin', 'pemerintah', 'vaksin', 'vaksin', 'booster', 'vaksin', 'pemerintah', 'sertifikat', 'vaksin', 'booster', 'muncul', 'berkonfirmasi', 'ditangani', 'muncul', 'sertifikat', 'booster', 'mohon', 'terimakasih']","['mohon', 'golong', 'vaksin', 'gorong', 'royong', 'migrasi', 'vaksin', 'perintah', 'vaksin', 'vaksin', 'booster', 'vaksin', 'perintah', 'sertifikat', 'vaksin', 'booster', 'muncul', 'konfirmasi', 'tangan', 'muncul', 'sertifikat', 'booster', 'mohon', 'terimakasih']"
"Dengan adanya apk peduliLindungi ini, ... Semua jadi mudah dalam penggurusan data² dan ke pentingan lain nya 👍👍👍 Terima kasih semua nya ,,, 🙏 Salam sehat dan ... Bebas covid19","['pedulilindungi', 'mudah', 'penggurusan', 'data', 'pentingan', 'terima', 'kasih', 'salam', 'sehat', 'bebas', 'covid']","['pedulilindungi', 'mudah', 'penggurusan', 'data', 'penting', 'terima', 'kasih', 'salam', 'sehat', 'bebas', 'covid']"
Terlalu sering minta untuk diperbaharui,['diperbaharui'],['baharu']
Setelah update kenapa datanya tidak muncul ?,"['datanya', 'muncul']","['data', 'muncul']"
"Parah, minta di update, giliran di update gak bisa scen huhhhh","['parah', 'giliran']","['parah', 'gilir']"
"Perbaharui mulu,payah",['perbaharui'],['baharu']
Cakep aplikasi nya,['aplikasi'],['aplikasi']
"Baguus sekalii,yg lama sdah kami perbaharui",['perbaharui'],['baharu']
TERBAIK,['terbaik'],['baik']
Mantap,['mantap'],['mantap']
Terpaksa,['terpaksa'],['paksa']
Mantap,['mantap'],['mantap']
Kenaapa gak bisa dibuka dan di-update ini,['dibuka'],['buka']
Trimksih peduli lindundungi sudah membantu dngnnmudah,"['peduli', 'lindundungi', 'membantu']","['peduli', 'lindundungi', 'bantu']"
Pelayanan baik,['pelayanan'],['layan']
Sangat membantu,['membantu'],['bantu']
"Makin kesini banyak banget masalahnya, masa saya gk bisa unduh sertifikat vaksin, padahal aplikasi nya udah di update, gimana sih tolong segera diperbaiki","['unduh', 'sertifikat', 'vaksin', 'aplikasi', 'tolong', 'diperbaiki']","['unduh', 'sertifikat', 'vaksin', 'aplikasi', 'tolong', 'baik']"
"Aplikasinya selalu berubah, sekarang sertifikat vaksin tidak bisa muncul","['aplikasinya', 'berubah', 'sertifikat', 'vaksin', 'muncul']","['aplikasi', 'ubah', 'sertifikat', 'vaksin', 'muncul']"
Peduli lindungi is the best,"['peduli', 'lindungi']","['peduli', 'lindung']"
Ribet cok,['ribet'],['ribet']
Baik untuk berpergian,['berpergian'],['pergi']
Pembaruan terus,['pembaruan'],['baru']
Bagus,['bagus'],['bagus']
"Setiap buka peduli lindungi untuk scan barcode selalu disuruh update versi baru, terlalu merugikan dan terlalu lama.. Orang buru2 jadi tertunda gara2 disuruh update versi baru trus.. Aplikasi nob","['buka', 'peduli', 'lindungi', 'disuruh', 'versi', 'merugikan', 'tertunda', 'disuruh', 'versi', 'aplikasi']","['buka', 'peduli', 'lindung', 'suruh', 'versi', 'rugi', 'tunda', 'suruh', 'versi', 'aplikasi']"
"Covid sudah terkontrol, semoga aplikasi ini mayornya menjadi layanan akses kesehatan masyarakat","['covid', 'terkontrol', 'semoga', 'aplikasi', 'mayornya', 'layanan', 'akses', 'kesehatan', 'masyarakat']","['covid', 'kontrol', 'moga', 'aplikasi', 'mayor', 'layan', 'akses', 'sehat', 'masyarakat']"
Bagus bisa membantu,"['bagus', 'membantu']","['bagus', 'bantu']"
"Super RIBET SEBENTAR"" PERBARUI TERUS","['super', 'ribet', 'sebentar', 'perbarui']","['super', 'ribet', 'sebentar', 'baru']"
Setiap saat di perbaru an terus di suruh perbaru dah di perbaru tapi gak bisa di downlot buat repot aja mau ke mana mana pakek seken barkot buat susah aja ni sedangkan apl nya gak bisa di downlot,"['perbaru', 'suruh', 'perbaru', 'perbaru', 'repot', 'susah']","['baru', 'suruh', 'baru', 'baru', 'repot', 'susah']"
Data saya tidak muncul di aplikasi setelah di update servernya sering down butuh banyak perbaikan bug.,"['data', 'muncul', 'aplikasi', 'servernya', 'butuh', 'perbaikan']","['data', 'muncul', 'aplikasi', 'servernya', 'butuh', 'baik']"
"Aplikasi gak guna Minta update terus Data bocor , peduli lindungi tapi data gak dilindungi .. gimana pemerintah","['aplikasi', 'data', 'bocor', 'peduli', 'lindungi', 'data', 'dilindungi', 'pemerintah']","['aplikasi', 'data', 'bocor', 'peduli', 'lindung', 'data', 'lindung', 'perintah']"
Sangat membantu,['membantu'],['bantu']
Aplikasi sering eror,['aplikasi'],['aplikasi']
"Gua nggak pernah percaya Ama aplikasi atau website yang dibikin pemerintah dan turunannya. Nggak ada yang jelas nggak ada yang bener, bukannya mudah malah tambah ribet. Dana nggak dibuat ngembangin apps malah dimasukin ke perut semua.","['percaya', 'aplikasi', 'website', 'dibikin', 'pemerintah', 'turunannya', 'mudah', 'ribet', 'dana', 'dimasukin', 'perut']","['percaya', 'aplikasi', 'website', 'bikin', 'perintah', 'turun', 'mudah', 'ribet', 'dana', 'dimasukin', 'perut']"
Thanks PeduliLindungi 🙏🏻🙏🏻🙏🏻,['pedulilindungi'],['pedulilindungi']
Gak bisa login. Padahal dah hapus data dan segala macem,"['hapus', 'data']","['hapus', 'data']"
Data kenapa bisa bocor ?,"['data', 'bocor']","['data', 'bocor']"
Saya kesulitan utk masuk saat melakukan pembaharuan pelayanan seperti yg ditawarkan,"['kesulitan', 'masuk', 'pembaharuan', 'pelayanan', 'ditawarkan']","['sulit', 'masuk', 'baharu', 'layan', 'tawar']"
"Pembaruan nya lama sekali,",['pembaruan'],['baru']
Mantap,['mantap'],['mantap']
"Nomor hp saya sudah hilang, gimana saya mau loginya ya?? Tolong diperbaiki lagi, jgn ribetin manusia klo ga mau tuhan ikut turun tangan.","['hilang', 'tolong', 'diperbaiki', 'manusia', 'tuhan', 'turun', 'tangan']","['hilang', 'tolong', 'baik', 'manusia', 'tuhan', 'turun', 'tangan']"
udah di perbaiki masalah log in makasih,"['perbaiki', 'makasih']","['baik', 'makasih']"
"Aplikasi kebanyakan pembaruan, di klik ga bisa.","['aplikasi', 'pembaruan', 'klik']","['aplikasi', 'baru', 'klik']"
Butuh,['butuh'],['butuh']
"Kenapa pas pilih jenis vaksin selalu ada tulisan jenis vaksin tidak valid , padahal udah jelas jelas benar","['pilih', 'vaksin', 'tulisan', 'vaksin', 'valid']","['pilih', 'vaksin', 'tulis', 'vaksin', 'valid']"
Saya kurang mengerti,['mengerti'],['erti']
Ribet,['ribet'],['ribet']
Bagus pelayanan nya,"['bagus', 'pelayanan']","['bagus', 'layan']"
Tidak ada keluhan...,['keluhan'],['keluh']
Apks gak guna. Login berkali kali tidak bisa,['berkali'],['kali']
"Update mulu,hp ram kecil susah bos",['susah'],['susah']
Bagus sekali,['bagus'],['bagus']
"Ribet, bentar2 update. Heran","['ribet', 'bentar', 'heran']","['ribet', 'bentar', 'heran']"
Tidak bisa keluar sertifikat vaksin,"['sertifikat', 'vaksin']","['sertifikat', 'vaksin']"
Aplikasi gajelas..dikit2 update mulu,['aplikasi'],['aplikasi']
"Aplikasi bikin susah,dikit2 mnt d update",['aplikasi'],['aplikasi']
Setelah di update malah tidak bisa login keluar terus. Akhirnya saya putuskan uninstal. Padahal di hp tertulis bisa di pakai di hp ASUS,"['putuskan', 'tertulis', 'pakai']","['putus', 'tulis', 'pakai']"
Ribet pisan loba aturan,"['ribet', 'aturan']","['ribet', 'atur']"
Bintang tiga dulu,['bintang'],['bintang']
Aplikasi nyusahin.,['aplikasi'],['aplikasi']
"Sebwoum d update serifikat vaksin bisa di download setlah di update setifikate vaksin gabisa di download, aneh orang bukan tambah maju ini malah mengalami kemunduran😑","['vaksin', 'vaksin', 'aneh', 'maju', 'mengalami', 'kemunduran']","['vaksin', 'vaksin', 'aneh', 'maju', 'alami', 'mundur']"
Mantap . Membantu,"['mantap', 'membantu']","['mantap', 'bantu']"
Aplikasi gak penting... Keseringan update,"['aplikasi', 'keseringan']","['aplikasi', 'sering']"
Aplikasi bikin ribet,"['aplikasi', 'ribet']","['aplikasi', 'ribet']"
Membatu,['membatu'],['batu']
Pelayanannya bgus cepat dn ramah,"['pelayanannya', 'cepat', 'ramah']","['layan', 'cepat', 'ramah']"
"Ini gimana ini kok tidak bisa dibuka sertifikasi vaksinnya, eror ini, tolong developer segera memperbaiki","['dibuka', 'vaksinnya', 'tolong', 'memperbaiki']","['buka', 'vaksin', 'tolong', 'baik']"
Kenapa versi terbaru sulit sekali terbuka,"['versi', 'terbaru', 'sulit', 'terbuka']","['versi', 'baru', 'sulit', 'buka']"
"Oke banget aplikasinya, memudahkan kita bepergian dan beraktifitas","['aplikasinya', 'memudahkan', 'bepergian', 'beraktifitas']","['aplikasi', 'mudah', 'pergi', 'beraktifitas']"
Appsnya harus login terus dan di bersihkan data baru bisa login kembali,"['bersihkan', 'data']","['sih', 'data']"
Bagus,['bagus'],['bagus']
Sangat membantu untuk kepergian jauh atau dekat untuk menjaga jarak demi covid. Law bisa EHAC NYA DI LANCARKAN BIAR SEMUA BISA DAFTAR UNTUK KEPERGIAN GK SUSAH UNTUK PENERBANGAN ATAU LAUTAN,"['membantu', 'kepergian', 'menjaga', 'jarak', 'covid', 'lancarkan', 'daftar', 'kepergian', 'susah', 'penerbangan', 'lautan']","['bantu', 'pergi', 'jaga', 'jarak', 'covid', 'lancar', 'daftar', 'pergi', 'susah', 'terbang', 'laut']"
"ini aplikasi nya masih bisa dipakai ngk sih, klw ngk bisa jgn dibuat susah org, org mau bepergian ke LN tp error melulu beberapa hari ini, aplikasi nya di tutup aja klw nyusahin ..😞","['aplikasi', 'dipakai', 'susah', 'bepergian', 'aplikasi', 'tutup']","['aplikasi', 'pakai', 'susah', 'pergi', 'aplikasi', 'tutup']"
"Aplikasinya eror padahal lagi genting,lama banget perbaikannya,respon kemenkes juga lelet padahal aplikasi milik pemerintah","['aplikasinya', 'kemenkes', 'lelet', 'aplikasi', 'milik', 'pemerintah']","['aplikasi', 'kemenkes', 'lelet', 'aplikasi', 'milik', 'perintah']"
"Tidak dapat login setelah aplikasi di perbaharui, lalu bagaimana bisa melihat sertifikat vaksin 1, 2 serta sertifikat booster? Tolong di perbaiki secepat nya","['aplikasi', 'perbaharui', 'sertifikat', 'vaksin', 'sertifikat', 'booster', 'tolong', 'perbaiki']","['aplikasi', 'baharu', 'sertifikat', 'vaksin', 'sertifikat', 'booster', 'tolong', 'baik']"
di perbarui malah..kaya apl tolol,['perbarui'],['baru']
TOP,['top'],['top']
"Tolong ini gimana saya ga bisa login apk, udah di coba di website pedulilindungi ga masuk aja malah bolak balik di tampilan login Tolong untuk solusinya ini gimana?","['tolong', 'coba', 'website', 'pedulilindungi', 'masuk', 'tampilan', 'tolong', 'solusinya']","['tolong', 'coba', 'website', 'pedulilindungi', 'masuk', 'tampil', 'tolong', 'solusi']"
"Sampahh!!! Mau Buat KTP diminta sertifikat Vaksin Download pedulilindungi buat ngecek sertifikat vaksin tapi ngga bisa Login. Lewat situs webnya juga ngga bisa... Iniii gimanaaa,, mau apa² dipersulit.... Hahassyyyuuuu","['sertifikat', 'vaksin', 'pedulilindungi', 'sertifikat', 'vaksin', 'situs', 'webnya', 'dipersulit']","['sertifikat', 'vaksin', 'pedulilindungi', 'sertifikat', 'vaksin', 'situs', 'webnya', 'sulit']"
"Apk apaan ini.,, Aku uda lh vaksin ke 3 tapi ngk bisa muncul sertifikasi nya","['vaksin', 'muncul']","['vaksin', 'muncul']"
Bagus.,['bagus'],['bagus']
Apk unfaedah...daftar masuk aj gak bisa,['masuk'],['masuk']
Sudah update malah makin ribet. Buka sertifikat vaksin di arahkan ke chrome padahal biasanya otomatis muncul.,"['ribet', 'buka', 'sertifikat', 'vaksin', 'arahkan', 'chrome', 'otomatis', 'muncul']","['ribet', 'buka', 'sertifikat', 'vaksin', 'arah', 'chrome', 'otomatis', 'muncul']"
suka trouble,['suka'],['suka']
UI terburuk dan tidak efisien. udah ada apps kok mesti masuk web hmmzzz mana pas masuk web suruh login pas login ehh ga masuk² ni mo ngecek serfitikat gimana hey,"['terburuk', 'efisien', 'mesti', 'masuk', 'web', 'masuk', 'web', 'suruh', 'masuk', 'serfitikat']","['buruk', 'efisien', 'mesti', 'masuk', 'web', 'masuk', 'web', 'suruh', 'masuk', 'serfitikat']"
"Tolong developer, nda bisa login. Keterangannya ada masalah terussss. Aplikasiii apa ini, tolong di perbaiki","['tolong', 'keterangannya', 'tolong', 'perbaiki']","['tolong', 'terang', 'tolong', 'baik']"
Aplikasi buruk sialan,"['aplikasi', 'buruk', 'sialan']","['aplikasi', 'buruk', 'sial']"
Gabisa masuk,['masuk'],['masuk']
"Aplikasinya suka minta updapte, udah di update malah ga bisa buka sertifikat","['aplikasinya', 'suka', 'buka', 'sertifikat']","['aplikasi', 'suka', 'buka', 'sertifikat']"
Kenapa susah sekali login nya,['susah'],['susah']
"Aplikasinya Kok Malah tidak Bisa Login dan Tidak Bisa Daftar, sudah di coba di HP dan juga di Laptop tetap sama,. Mohon penjelasannya Admin. Apakah ada Kesalahan Server Pusat? Terima Kasih","['aplikasinya', 'daftar', 'coba', 'laptop', 'mohon', 'penjelasannya', 'kesalahan', 'server', 'pusat', 'terima', 'kasih']","['aplikasi', 'daftar', 'coba', 'laptop', 'mohon', 'jelas', 'salah', 'server', 'pusat', 'terima', 'kasih']"
Sangat membantu,['membantu'],['bantu']
"Halo, aku mau login ke akunku kok nggak bisa ini kenapa ya? Selalu tertulis terjadi kesalahan padahal akun email dan nomor telepon udah bener. Mohon bantuannya🙏","['akunku', 'tertulis', 'kesalahan', 'akun', 'email', 'telepon', 'mohon', 'bantuannya']","['akun', 'tulis', 'salah', 'akun', 'email', 'telepon', 'mohon', 'bantu']"
"Parah mau ngecek sertifikat vaksin gabisa terus diarahkan ke chrome mulu sekalinya ke chrome udh masukan data email atau no telp tetep ga terjadi apa2, tolong perbaiki ya!!!","['parah', 'sertifikat', 'vaksin', 'diarahkan', 'chrome', 'sekalinya', 'chrome', 'masukan', 'data', 'email', 'tolong', 'perbaiki']","['parah', 'sertifikat', 'vaksin', 'arah', 'chrome', 'sekali', 'chrome', 'masuk', 'data', 'email', 'tolong', 'baik']"
tolong dong jangan menyulitkan saya sudah punya akun tapi untuk log in atau minta sertifikat kaya daftar baru atau rumit gimana ini kelanjutan aplikasi Peduli lindungi,"['tolong', 'menyulitkan', 'akun', 'sertifikat', 'daftar', 'rumit', 'kelanjutan', 'aplikasi', 'peduli', 'lindungi']","['tolong', 'sulit', 'akun', 'sertifikat', 'daftar', 'rumit', 'lanjut', 'aplikasi', 'peduli', 'lindung']"
Tidak bisa buat daftar akun ini aplikasi apaaa,"['daftar', 'akun', 'aplikasi']","['daftar', 'akun', 'aplikasi']"
Kenapa update terbaru gk bs liat riwayat check in? Payah,"['terbaru', 'riwayat', 'payah']","['baru', 'riwayat', 'payah']"
Aplikasi loading nya sangat lama.. sedangkn kita perlu cepat untuk check in dn kasih bukti vaksin di tmpt umum,"['aplikasi', 'cepat', 'kasih', 'bukti', 'vaksin']","['aplikasi', 'cepat', 'kasih', 'bukti', 'vaksin']"
"Kenapa diupdate malah tambah lemot, cek sertifikat aja masa di alihkan ke web, tambah lagi login ngak masuk masuk, buat apa ada aplikasinya ngak bisa cek langsung, mending aplikasi saat pertama dirilis, ngak ada ribetnya","['sertifikat', 'alihkan', 'web', 'masuk', 'masuk', 'aplikasinya', 'langsung', 'aplikasi', 'dirilis']","['sertifikat', 'alih', 'web', 'masuk', 'masuk', 'aplikasi', 'langsung', 'aplikasi', 'rilis']"
Nggak pantes dikasih rating buka susah. Setiap diperbaharui semakin oon. Paling responnya minta maaf atas ketidaknyaman. Nggak ada solusi.,"['dikasih', 'rating', 'buka', 'susah', 'diperbaharui', 'maaf', 'ketidaknyaman', 'solusi']","['kasih', 'rating', 'buka', 'susah', 'baharu', 'maaf', 'ketidaknyaman', 'solusi']"
tidak bisa login dari pagi sampai siang apakah error keberangkatan jadi tertunda merugikan,"['pagi', 'siang', 'keberangkatan', 'tertunda', 'merugikan']","['pagi', 'siang', 'berangkat', 'tunda', 'rugi']"
Aplikasi t444i... gw susah masuk keja gara2 aplikase eror masa harus vaxin lg t0loll,"['aplikasi', 'susah', 'masuk']","['aplikasi', 'susah', 'masuk']"
Ribet nyusahin,['ribet'],['ribet']
Maaf saya tidak bisa masuk aplikasi peduli lindungi lagi.. Padahal awal bisa.. Mohon bantuannya,"['maaf', 'masuk', 'aplikasi', 'peduli', 'lindungi', 'mohon', 'bantuannya']","['maaf', 'masuk', 'aplikasi', 'peduli', 'lindung', 'mohon', 'bantu']"
Aplikasinya ribet,"['aplikasinya', 'ribet']","['aplikasi', 'ribet']"
Aplikasi malah bikin susah .. Waktunya butuh malah eror sudah masukin email nama no.ktp dll dipencet masuk malah ga ada proses malah ilang di isi kembali tetep aja sama . Bukan memudahkan malaah menyusahkan ini mah,"['aplikasi', 'susah', 'butuh', 'masukin', 'email', 'nama', 'masuk', 'proses', 'isi', 'memudahkan', 'menyusahkan']","['aplikasi', 'susah', 'butuh', 'masukin', 'email', 'nama', 'masuk', 'proses', 'isi', 'mudah', 'susah']"
Sangat membantu dalam pekerjaan yg kl mau masuk lokasi kerja hrs scan dulu,"['membantu', 'pekerjaan', 'masuk', 'lokasi', 'kerja']","['bantu', 'kerja', 'masuk', 'lokasi', 'kerja']"
"Ini gimana sih peduli lindungi susah banget mau masuk atau login, loading lamaa sampai gabisa kebuka semuanya. Tolong perbaiki ini kenapa","['peduli', 'lindungi', 'susah', 'masuk', 'kebuka', 'tolong', 'perbaiki']","['peduli', 'lindung', 'susah', 'masuk', 'buka', 'tolong', 'baik']"
Di update malah gak bisa masuk . Payah,"['masuk', 'payah']","['masuk', 'payah']"
Di perbaharui kok malah gak bisa cek ricek...hadeh...bagaimana ni??muter kya kemedi puter...pusiang sayah,['perbaharui'],['baharu']
Udah di upgrade malah tambah lama loading nya payah,['payah'],['payah']
Kenapa setelah diupdate malah mental keluar terus,['mental'],['mental']
"Minta update trs ,gk di update keluar sendiri giliran di update malah gk bisa di pake scan,nyusahin aja",['giliran'],['gilir']
Apk rusak penyebar data pribadi,"['rusak', 'penyebar', 'data', 'pribadi']","['rusak', 'sebar', 'data', 'pribadi']"
Mau cek sertifikat malan kagak ada gmna sih?udah cek di website nya juga ga jalan hadeh,"['sertifikat', 'kagak', 'website', 'jalan']","['sertifikat', 'kagak', 'website', 'jalan']"
"Dr sejak muncul aplikasi pedulilindungi harus di perbarui pd Hp saya, ternyata tidak bisa di update, setelah saya coba uninstall kemudian install ulang tidak bisa juga, jadi harus bagaimana?","['muncul', 'aplikasi', 'pedulilindungi', 'perbarui', 'coba', 'ulang']","['muncul', 'aplikasi', 'pedulilindungi', 'baru', 'coba', 'ulang']"
"Masuk apl nya utk buka sertifikat vaksin3 ga bisa, login lagi ga bisa. Di uninstal dan dl apl lagi, mau login tetep ga bisa...","['masuk', 'buka', 'sertifikat', 'vaksin']","['masuk', 'buka', 'sertifikat', 'vaksin']"
"Kenapa saya tidak bisa masuk lagi, setelah di perbarui, saya sangat perlu plikasi ini, sekarang mau kemana-mana harus pake plikasi ini,","['masuk', 'perbarui']","['masuk', 'baru']"
Aplikasi tidak bisa di buka,"['aplikasi', 'buka']","['aplikasi', 'buka']"
Untuk lihat sertifikatnya ribet,"['lihat', 'sertifikatnya', 'ribet']","['lihat', 'sertifikat', 'ribet']"
"kenapa susah amat masuknya, enak an apk yg terdahulu gampang masuknya, seharusnya semakin mudah bukan sebalik nya🙏.","['susah', 'masuknya', 'enak', 'gampang', 'masuknya', 'mudah', 'sebalik']","['susah', 'masuk', 'enak', 'gampang', 'masuk', 'mudah', 'balik']"
Saya install ulang tapi malah tidak bisa masuk 😔,"['ulang', 'masuk']","['ulang', 'masuk']"
Aplikasi sering eror gakjelas !!!,['aplikasi'],['aplikasi']
"Tidak bisa masuk lagi, setelah di perbarui padahal plikasi ini sangat perlu, mau kemana aja harus pake plikasi ini, tolong dong di perbaiki segera","['masuk', 'perbarui', 'tolong', 'perbaiki']","['masuk', 'baru', 'tolong', 'baik']"
"Aplikasi ga bermutu, mau lihat sertifikat vaksin aja muter muter terus, kebabanyakan menu loading. PAYAH, Sumpah ini aplikasi PAYAH","['aplikasi', 'bermutu', 'lihat', 'sertifikat', 'vaksin', 'menu', 'payah', 'sumpah', 'aplikasi', 'payah']","['aplikasi', 'mutu', 'lihat', 'sertifikat', 'vaksin', 'menu', 'payah', 'sumpah', 'aplikasi', 'payah']"
Ini mau masuk/log in coba lagi terus gmn?,['coba'],['coba']
"Aplikasi gajelas padahal udah daftar, Tiba-tiba udah log out trus gabisa login lagi, daftar lagi gabisa, mau login juga gabisa","['aplikasi', 'daftar', 'daftar']","['aplikasi', 'daftar', 'daftar']"
Susah masuk,"['susah', 'masuk']","['susah', 'masuk']"
"Aplikasi ini sudah tidak bagus dan tidak aman, kami tidak bisa login, untuk scan qr ke ruang publik tidak bisa","['aplikasi', 'bagus', 'aman', 'ruang', 'publik']","['aplikasi', 'bagus', 'aman', 'ruang', 'publik']"
Tidak bisa login aplikasi,['aplikasi'],['aplikasi']
Sangat berguna,['berguna'],['guna']
"Mohon penjelasanNya Boss.... AplikasiNya kok eror. Padahal sudah lama saya pakai ini, begitu saya instal ulang aplikasiNya masih saja eror. Apakah karnan BBM Naik, ini aplikasi juga mau bikin Naik!!!?","['mohon', 'penjelasannya', 'aplikasinya', 'pakai', 'instal', 'ulang', 'aplikasinya', 'aplikasi']","['mohon', 'jelas', 'aplikasi', 'pakai', 'instal', 'ulang', 'aplikasi', 'aplikasi']"
"Mau masuk kok dipersulit? Dan kekurangan dari aplikasi, knp tdk disediakan akses atau cara ""lupa email atau password?"" Sudah dua kali download, ttp tidak bisa masuk😠","['masuk', 'dipersulit', 'kekurangan', 'aplikasi', 'disediakan', 'akses', 'lupa', 'email', 'password', 'masuk']","['masuk', 'sulit', 'kurang', 'aplikasi', 'sedia', 'akses', 'lupa', 'email', 'password', 'masuk']"
Memaksimalkan covit,['memaksimalkan'],['maksimal']
Setelah diperbaharui jadi tidak dapat di akses Mohon segera diperbaiki,"['diperbaharui', 'akses', 'mohon', 'diperbaiki']","['baharu', 'akses', 'mohon', 'baik']"
Sulit di buka dan di gunakan,"['sulit', 'buka']","['sulit', 'buka']"
"Tolonglah di perbaiki aplikasinya. Saya susah login, masa setelah update kok malah jadi error ???","['tolonglah', 'perbaiki', 'aplikasinya', 'susah']","['tolong', 'baik', 'aplikasi', 'susah']"
