hasil_stemming;label;label_bayes;;;;;;;
['pagi' 'panik' 'manusia' 'indonesia' 'wajib' 'pakai' 'aplikasi' 'biar' 'anak' 'kembang' 'anak' 'eksplorasi' 'mampu' 'payah'];Negatif;Negatif;;;;;;;
['baru'];Negatif;Negatif;;;;;;;
['aplikasi' 'susah' 'masuk'];Negatif;Negatif;;;;;;;
['bantu' 'lindung' 'sebar' 'covid' 'indonesia'];Positif;Positif;;;;;;;
['baru' 'respon' 'suruh' 'daftar'];Negatif;Negatif;;;;;;;
['baru' 'masuk' 'sulit'];Negatif;Negatif;;;;;;;
['pagi' 'pagi'];Negatif;Negatif;;;;;;;
['layan'];Positif;Positif;;;;;;;
['bagus'];Positif;Positif;;;;;;;
['top'];Positif;Positif;;;;;;;
['gagal'];Positif;Negatif;;;;;;;
['mantap'];Positif;Positif;;;;;;;
['sistem' 'baru' 'data' 'buka' 'buka' 'isi' 'data' 'data' 'kosong'];Negatif;Negatif;;;;;;;
['parah' 'kode' 'sertifikat' 'vaksin' 'situs' 'aplikasi' 'aplikasi' 'guna' 'tolong' 'susah' 'kerja'];Negatif;Negatif;;;;;;;
['erti'];Positif;Negatif;;;;;;;
['keren' 'tingkat'];Positif;Positif;;;;;;;
['susah' 'akses' 'info' 'swab' 'antigen' 'sertifikat' 'vaksin'];Negatif;Negatif;;;;;;;
['buka' 'peduli' 'lindung' 'suruh' 'versi' 'rugi' 'tunda' 'suruh' 'versi' 'aplikasi'];Negatif;Negatif;;;;;;;
['sertifikat' 'vaksinasi'];Negatif;Negatif;;;;;;;
['aplikasi' 'buruk' 'sial'];Negatif;Negatif;;;;;;;
['aplikasi' 'baru'];Negatif;Negatif;;;;;;;
['covid' 'kontrol' 'moga' 'aplikasi' 'mayor' 'layan' 'akses' 'sehat' 'masyarakat'];Positif;Positif;;;;;;;
['habis' 'baharu' 'ribet'];Negatif;Negatif;;;;;;;
